,DBK.DE,ALV.DE,HNR1.DE,EOAN.DE,ADS.DE,MRK.DE,DPW.DE,DB1.DE,VOW3.DE,RWE.DE,BMW.DE,IFX.DE,HEI.DE,MTX.DE,CON.DE,BEI.DE,SY1.DE,BAYN.DE,SIE.DE,DTE.DE,AIR.DE,BAS.DE,FRE.DE,BNR.DE,PAH3.DE,MUV2.DE,CBK.DE,HEN3.DE,MBG.DE,QIA.DE,RHM.DE,SAP.DE,SRT3.DE,^GDAXI
2010-03-29,44.935097,92.940002,37.0,24.429413,40.529999,29.805,13.07,55.709999,68.925415,64.784271,34.115002,5.173,41.205002,42.355,38.955002,44.235001,17.225,49.509823,72.115196,9.95,15.28,45.52,16.856667,18.0,38.902088,120.199997,52.602055,39.380001,34.950001,17.861538,52.779999,35.68,4.925,6156.850098
2010-03-30,45.08268,93.089996,37.07,24.760214,40.264999,29.92,12.97,55.549999,67.50396,65.611511,33.785,5.039,41.595001,41.700001,37.904999,44.150002,17.655001,49.401569,70.826385,9.986,14.86,45.724991,17.216665,17.963333,38.61573,119.699997,51.095474,39.43,34.560001,17.788845,52.610001,35.610001,4.8875,6142.450195
2010-03-31,44.298161,92.830002,36.560001,24.773809,39.599998,30.0,12.845,54.880001,67.900002,65.382278,34.18,5.139,41.299999,43.075001,37.544991,44.285,17.629999,49.283482,71.853561,10.035,14.93,45.919998,18.370001,18.333332,38.624279,120.150002,50.814995,39.860001,34.855,17.705769,53.029999,35.860001,4.9125,6153.549805
2010-04-01,45.129284,94.0,37.360001,25.013979,40.139999,30.0,13.025,55.639999,69.519997,66.06002,35.154999,5.16,42.099998,43.825001,38.25,44.455002,18.02,49.834572,73.394318,10.02,15.25,47.0,18.436666,18.333332,39.632946,121.699997,51.119514,40.650002,35.404999,17.86673,53.73,36.365002,4.89375,6235.560059
2010-04-06,45.160355,95.260002,37.529999,25.004915,40.400002,29.9,13.1,55.91,71.120003,66.11982,35.41,5.291,41.93,44.724998,38.0,43.990002,17.895,48.830795,73.898216,10.08,15.19,47.055,18.24,18.799999,40.376625,122.550003,51.768627,40.790001,35.505001,17.91346,54.5,36.040001,4.835,6252.209961
2010-04-07,44.469044,95.43,37.389999,24.9596,40.455002,30.25,12.995,56.169998,70.650002,66.179619,34.799999,5.253,42.91,44.860001,37.035,43.994999,17.77,48.712704,72.735374,10.065,15.0,46.625,18.49,18.493334,39.359409,121.550003,51.464108,39.75,35.419998,17.91346,54.400002,35.985001,4.825,6222.410156
2010-04-08,43.715595,93.699997,37.355,24.923349,40.174999,30.424999,12.85,55.529999,68.900002,65.900551,34.529999,5.135,42.150002,43.950001,36.0,43.93,18.08,48.939049,71.805107,9.972,14.505,46.25,18.299999,18.333332,37.961807,120.900002,50.342186,39.740002,35.18,18.209421,53.84,35.935001,5.0,6171.830078
2010-04-09,45.113747,93.57,37.349998,25.684645,41.119999,30.785,12.945,56.02,68.699997,67.614845,34.860001,5.206,44.185001,44.105,36.884991,44.119999,18.690001,49.372047,72.522186,10.04,14.88,46.970001,18.583332,18.166666,38.45332,121.849998,50.823009,41.060001,35.360001,18.04846,53.82,36.0,5.1725,6249.700195
2010-04-12,45.2924,94.330002,37.490002,25.847778,41.18,30.405001,12.78,55.610001,68.199997,67.794243,35.119999,5.028,43.5,43.924999,37.0,43.915001,18.540001,49.121105,72.46405,10.07,14.82,46.919998,18.436666,18.066666,38.765324,122.150002,51.079449,40.73,35.41,18.053654,53.5,36.040001,5.125,6250.689941
2010-04-13,44.888489,93.379997,37.389999,25.625734,41.445,30.385,12.62,55.689999,67.5,67.136436,35.349998,5.07,43.259998,43.700001,37.279999,44.669998,18.385,49.539345,71.320595,10.065,14.495,46.639999,18.5,17.700001,39.073051,121.900002,50.951229,40.75,36.0,18.006922,53.400002,35.860001,5.03875,6230.830078
2010-04-14,46.294411,94.190002,37.41,25.739021,41.799999,30.18,12.85,56.860001,69.690002,67.365669,35.514999,5.211,44.5,43.959999,38.365002,44.619999,18.4,49.381889,71.155861,10.125,14.745,46.685001,18.6,18.09,39.577385,122.5,52.057121,40.970001,36.669998,18.152306,54.59,36.294998,5.15,6278.399902
2010-04-15,46.900276,93.809998,37.755001,26.010914,41.82,30.254999,13.35,56.639999,70.400002,67.445404,35.330002,5.26,44.900002,43.544998,38.865002,44.639999,18.555,48.87508,70.845772,10.11,14.78,46.529999,18.546665,18.18,39.359409,123.199997,52.513905,40.990002,36.715,18.245768,53.580002,36.580002,5.125,6291.450195
2010-04-16,43.490337,92.339996,36.98,25.711832,41.139999,30.264999,13.105,55.119999,70.919998,66.648064,35.560001,5.12,45.455002,42.695,39.400002,44.105,18.290001,48.609375,68.927094,10.0,14.565,45.950001,18.433332,18.033333,38.188332,120.699997,51.007324,40.290001,36.540001,18.188654,53.099998,36.0,5.0525,6180.899902
2010-04-19,42.379581,91.970001,36.849998,25.838717,41.305,30.125,13.085,54.419998,70.0,66.418823,35.310001,5.096,45.639999,42.115002,38.895,43.775002,18.365,48.87508,69.789528,9.986,14.405,45.650002,18.333332,17.666666,37.466022,120.349998,50.318146,39.439999,36.305,18.204229,52.66,35.855,5.13625,6162.439941
2010-04-20,43.29615,92.660004,36.810001,25.920282,42.0,30.674999,13.405,54.759998,72.5,66.947067,36.794998,5.202,46.814999,43.305,41.0,44.02,18.379999,49.421253,71.591919,10.03,14.63,46.099998,18.486666,18.1,39.248287,121.5,50.967255,39.790001,39.0,18.276922,53.360001,36.189999,5.3,6264.22998
2010-04-21,42.969913,90.900002,36.790001,25.562292,42.540001,30.924999,13.335,54.759998,75.260002,66.269325,36.580002,5.4,46.615002,43.09,41.09,43.650002,18.865,49.29332,70.816696,9.965,14.535,46.415001,18.166666,18.299999,39.543194,120.5,50.278076,40.150002,38.450001,18.276922,52.880001,36.314999,5.225,6230.379883
2010-04-22,41.913528,89.07,36.285,25.539635,42.814999,31.565001,13.165,55.119999,76.18,65.920486,36.25,5.29,45.5,41.950001,41.07,43.654999,18.254999,48.909523,69.179039,9.893,14.35,46.165001,17.856667,18.166666,38.6371,119.050003,48.811565,39.889999,37.849998,18.173077,51.82,36.400002,5.175,6168.720215
2010-04-23,41.765945,89.379997,36.5,25.594013,44.494999,31.905001,13.34,57.380001,73.470001,62.432102,37.279999,5.389,48.0,42.264999,41.584999,44.349998,18.775,50.690735,70.57444,9.914,14.63,47.75,18.0,18.5,39.291027,118.5,49.08403,40.610001,38.869999,17.700577,53.650002,37.0,5.1475,6259.529785
2010-04-26,42.993214,88.709999,36.709999,25.716366,44.855,31.610001,13.53,57.990002,73.5,62.033428,37.82,5.544,48.779999,42.305,43.235001,44.509998,19.125,51.231987,73.374939,9.9,14.65,48.544991,17.973333,18.666666,39.910759,119.050003,50.310131,40.779999,39.470001,17.659037,54.200001,37.34,5.4,6332.100098
2010-04-27,40.84938,86.559998,35.185001,25.149925,43.959999,32.16,13.165,56.360001,71.040001,60.83741,37.060001,5.26,46.0,41.139999,42.330002,43.59,18.530001,49.80505,70.76825,9.711,14.02,47.105,17.83,18.233334,38.474689,113.75,48.891701,40.369999,37.93,17.44096,52.400002,36.849998,5.275,6159.509766
2010-04-28,40.577518,84.82,34.43,25.1318,43.084999,31.440001,13.065,55.110001,68.599998,60.707844,36.790001,5.25,46.889999,40.889999,43.490002,43.014999,18.424999,49.352367,69.750763,9.644,13.92,46.400002,17.693333,17.923332,37.636982,112.75,47.697659,39.830002,37.764999,17.290382,51.459999,35.764999,5.2125,6084.339844
2010-04-29,41.509621,86.480003,35.325001,25.331184,44.174999,31.424999,12.485,57.919998,72.410004,60.80751,36.775002,5.352,48.494999,41.915001,43.465,42.830002,19.209999,48.196045,70.651962,9.776,14.23,45.924999,17.836666,18.1,37.406185,107.599998,48.258617,40.189999,38.794991,17.75769,52.080002,35.985001,5.23125,6144.910156
2010-04-30,40.593052,86.519997,35.275002,25.158989,44.16,30.93,12.235,58.540001,72.540001,61.65469,37.130001,5.343,46.764999,41.445,42.529999,42.605,19.16,47.310368,72.037674,9.779,13.98,43.98,17.836666,18.200001,37.342075,106.199997,47.55341,40.220001,38.814999,18.006922,52.619999,36.224998,5.25,6135.700195
2010-05-03,40.709564,87.040001,35.369999,25.548698,45.25,31.01,12.46,57.360001,73.360001,62.392235,37.380001,5.287,47.220001,41.325001,42.580002,42.915001,19.125,46.419762,70.826385,9.878,13.86,44.595001,17.866667,18.466665,36.50864,107.199997,47.978138,40.07,38.615002,17.986153,53.369999,36.099998,5.475,6166.919922
2010-05-04,39.210434,84.470001,35.525002,25.539635,43.23,30.969999,11.975,56.23,70.160004,61.684589,35.84,4.881,45.005001,39.955002,41.369999,42.965,18.49,44.963303,68.68483,8.91,13.575,43.064999,17.17,18.583332,34.649445,105.949997,46.527657,39.639999,37.369999,17.986153,51.549999,35.75,5.325,6006.859863
2010-05-05,38.662823,84.309998,32.5,25.28587,41.959999,30.645,11.775,55.98,68.68,61.086582,35.98,4.862,43.860001,39.32,41.064999,42.93,18.15,45.332336,68.597618,8.892,13.8,42.494999,16.926666,18.333332,34.149384,104.0,45.83046,38.759998,37.02,17.877113,50.0,35.674999,4.815,5958.450195
2010-05-06,37.02776,78.800003,31.950001,24.606144,42.154999,30.84,11.605,55.080002,69.209999,60.040066,36.419998,4.79,43.310001,40.610001,40.450001,42.66,17.715,45.657089,68.56855,8.83,13.965,42.549999,16.91,18.333332,31.969637,104.099998,45.293541,37.919998,36.93,17.960192,51.25,35.619999,5.03625,5908.259766
2010-05-07,35.575233,76.669998,31.865,22.349447,40.220001,29.764999,11.175,52.009998,67.309998,57.976936,35.48,4.531,42.375,39.900002,38.82,41.325001,16.975,44.525379,66.136284,8.55,13.545,41.0,16.540001,17.173332,30.413895,101.0,45.726284,36.880001,35.849998,17.274807,48.785,34.599998,4.65125,5715.089844
2010-05-10,40.150303,83.029999,33.950001,22.947607,41.580002,30.059999,11.93,55.560001,70.769997,59.382256,37.68,4.937,46.16,42.150002,41.805,42.485001,18.57,46.213104,71.223686,8.8,14.24,43.740002,16.583332,18.33,32.409863,106.0,49.829308,37.080002,38.009998,17.62269,50.599998,35.455002,4.8875,6017.910156
2010-05-11,39.668716,82.230003,33.825001,22.875103,42.794998,30.1,12.1,54.75,70.900002,59.551693,38.18,4.914,45.93,44.134998,41.880001,42.549999,18.555,46.685471,72.667542,8.818,14.65,43.564999,16.766666,18.0,32.546631,106.300003,48.643276,37.869999,38.654999,17.762882,50.790001,35.650002,4.925,6037.709961
2010-05-12,40.111465,85.059998,36.0,23.595613,44.189999,30.6,12.52,55.900002,72.400002,61.046715,39.0,5.142,47.52,47.509998,42.875,43.459999,18.299999,47.467827,73.888519,9.071,15.47,45.0,17.133333,17.5,33.961327,108.550003,49.701088,38.779999,39.790001,17.996536,52.669998,36.049999,5.025,6183.490234
2010-05-13,39.5056,86.849998,35.32,23.776875,43.915001,30.780001,12.605,57.049999,72.860001,61.006847,39.52,5.22,48.75,46.674999,43.970001,44.455002,18.17,48.082886,75.487419,9.21,15.53,45.674999,17.423332,17.5,33.961327,109.099998,50.991299,39.290001,41.369999,18.100384,52.549999,35.669998,5.0,6251.970215
2010-05-14,37.866653,83.290001,34.400002,23.110743,41.82,30.43,12.355,55.16,71.120003,59.382256,38.619999,5.038,46.564999,46.049999,42.305,43.615002,17.545,46.557537,71.669441,8.94,16.33,44.380001,17.406666,17.65,31.388371,105.0,48.88369,38.279999,40.575001,17.86673,51.200001,35.150002,4.89875,6056.709961
2010-05-17,38.157936,83.650002,34.075001,22.979328,41.705002,30.370001,12.21,54.779999,69.540001,59.172955,38.715,5.082,45.0,45.904999,42.014999,43.075001,17.52,46.985619,71.824486,9.015,15.98,44.68,17.286667,16.996666,32.123501,104.949997,48.242592,38.490002,41.084999,17.960192,50.279999,35.080002,4.8375,6066.919922
2010-05-18,38.713314,84.800003,34.605,23.391697,42.055,30.775,12.345,55.25,71.120003,60.050034,39.650002,5.053,46.014999,48.665001,42.439999,43.830002,17.375,47.088947,74.082329,9.096,16.985001,45.5,17.426666,17.266666,32.884277,106.5,48.322727,38.759998,41.915001,17.918653,50.5,35.404999,4.82625,6155.930176
2010-05-19,37.594791,82.040001,34.400002,22.847914,40.834999,30.700001,11.85,53.18,69.07,59.003517,37.0,4.732,44.0,46.02,39.880001,43.244999,16.780001,46.296741,72.047363,8.915,16.355,43.790001,17.299999,16.98,31.345631,103.050003,47.521355,38.299999,40.200001,17.877113,47.805,35.139999,4.775,5988.669922
2010-05-20,37.272438,81.459999,33.880001,22.530706,39.25,30.545,11.655,50.599998,66.5,58.325775,36.18,4.635,42.75,44.099998,37.990002,42.535,16.445,45.46027,69.595718,8.928,16.02,42.369999,17.113333,16.299999,29.683039,102.199997,47.873959,37.290001,38.400002,17.342306,45.084999,34.860001,4.675,5867.879883
2010-05-21,37.276321,81.080002,33.845001,22.295069,40.009998,29.450001,11.83,51.990002,66.050003,57.408829,36.025002,4.706,41.889999,44.0,38.459999,41.715,16.875,44.786163,68.898018,8.818,15.9,42.0,16.6,16.666666,29.123142,101.900002,48.002178,36.450001,38.830002,16.911345,45.580002,34.389999,4.74875,5829.25
2010-05-24,36.919018,80.279999,33.599998,21.973331,39.889999,29.565001,11.785,51.639999,68.160004,57.119789,36.139999,4.643,42.744999,43.724998,38.23,42.09,16.92,44.628712,68.520096,8.797,15.715,41.875,17.0,16.783333,29.405228,101.699997,46.992451,36.990002,38.485001,17.186537,44.705002,34.490002,4.745,5805.680176
2010-05-25,36.188869,79.0,32.560001,21.465801,38.595001,28.825001,11.33,50.959999,66.050003,56.352345,35.290001,4.209,39.785,41.805,36.040001,41.919998,16.325001,43.462559,66.543274,8.787,15.275,40.705002,16.645,16.333332,27.819569,99.739998,45.57402,35.830002,37.189999,16.926922,42.5,33.965,4.35125,5670.040039
2010-05-26,36.666573,78.110001,33.255001,21.52471,39.610001,28.969999,11.605,52.110001,69.68,56.611485,35.759998,4.415,41.535,43.025002,36.575001,42.705002,15.98,43.866035,68.646072,8.928,15.775,41.560001,16.631666,16.5,28.627357,100.300003,45.878544,36.950001,38.240002,17.368267,44.650002,34.48,4.525,5758.02002
2010-05-27,38.34824,81.279999,34.700001,22.245222,40.275002,29.200001,11.975,52.799999,70.519997,58.156338,37.205002,4.595,43.474991,44.299999,37.514999,43.799999,16.555,44.963303,71.17524,9.113,16.040001,43.305,16.92,16.946667,30.341236,104.199997,46.800121,37.900002,39.935001,17.633076,45.955002,34.700001,4.9125,5937.140137
2010-05-28,37.653038,81.529999,34.945,22.508051,40.439999,29.6,12.09,49.974998,70.18,58.56498,37.674999,4.574,43.169998,43.665001,38.110001,44.09,16.844999,44.869816,71.17524,9.154,16.025,42.849998,17.146666,17.1,30.375429,103.349998,46.519642,37.900002,40.299999,17.726538,46.240002,34.689999,4.8925,5946.180176
2010-05-31,37.590904,81.379997,35.189999,22.412888,40.919998,29.370001,12.12,49.59,71.730003,58.146374,37.965,4.661,44.134991,44.384998,38.375,44.380001,16.555,44.776325,71.727585,9.115,16.219999,43.060001,17.133333,17.583332,30.208742,103.5,46.567722,38.330002,41.0,18.074423,46.09,35.224998,4.8775,5964.330078
2010-06-01,37.388943,81.68,35.285,22.580553,40.990002,29.389999,12.08,49.814999,72.360001,58.425442,38.064999,4.465,43.505001,44.43,37.790001,44.669998,16.370001,45.096153,71.717896,9.187,16.1,43.035,17.203333,17.34,30.118988,103.300003,45.894569,38.419998,40.990002,17.991344,44.869999,35.84,4.875,5981.27002
2010-06-02,37.175343,81.139999,35.119999,22.408356,41.049999,29.934999,11.99,50.18,72.040001,58.37561,38.455002,4.496,43.599998,45.095001,37.709999,44.904999,16.860001,45.632488,71.591919,9.278,16.094999,42.810001,17.4,17.103333,29.794163,103.650002,45.862514,38.919998,40.775002,18.126345,44.43,35.970001,4.8,5981.200195
2010-06-03,37.614208,81.5,35.445,22.766346,41.915001,30.25,12.14,50.580002,72.290001,58.863983,39.220001,4.678,44.494999,45.884998,38.91,44.939999,16.825001,46.267227,72.541573,9.302,16.315001,43.540001,17.870001,17.116667,30.516472,103.550003,45.662174,39.150002,41.259998,18.31846,45.875,36.549999,4.8875,6054.629883
2010-06-04,36.53064,79.589996,34.919998,22.231627,40.884998,29.91,11.895,49.755001,70.029999,58.076603,38.105,4.561,43.705002,45.564999,37.895,44.700001,16.745001,45.740738,70.448463,9.203,16.065001,42.740002,18.09,17.1,29.490707,101.5,44.500183,38.830002,40.380001,18.282114,43.994999,36.244999,4.8,5938.879883
2010-06-07,36.041286,79.129997,34.610001,22.041304,41.705002,29.665001,11.755,49.34,69.949997,57.767632,38.235001,4.502,43.220001,46.049999,37.970001,44.935001,16.530001,45.819466,69.750763,9.159,16.120001,42.805,17.860001,16.833332,28.426477,100.849998,43.899155,38.540001,40.080002,18.178268,43.625,36.150002,4.865,5904.950195
2010-06-08,35.878166,78.68,34.064999,21.248287,41.705002,29.65,11.645,49.514999,69.18,56.073277,37.68,4.423,41.939999,46.48,36.595001,44.52,16.549999,45.775181,70.303108,9.09,16.195,43.099998,17.77,17.139999,27.276768,100.650002,43.819019,38.900002,40.240002,17.851152,42.68,35.924999,4.805,5868.549805
2010-06-09,36.647152,80.220001,34.455002,21.28454,42.595001,29.855,11.93,50.360001,70.309998,56.262646,38.91,4.57,43.139999,48.845001,37.790001,45.459999,17.530001,46.478809,72.386528,9.228,17.299999,44.200001,17.843332,17.5,28.396561,101.400002,44.476143,40.02,41.939999,18.219807,43.900002,36.235001,4.75,5984.75
2010-06-10,36.876286,80.970001,34.990002,21.302666,43.685001,30.360001,11.995,50.75,72.209999,56.412148,40.654999,4.68,45.255001,49.68,40.119999,45.619999,17.85,46.749435,73.791618,9.385,18.025,44.790001,18.283333,17.5,28.704288,102.050003,45.029091,40.439999,43.255001,18.287306,45.439999,36.215,4.84875,6056.589844
2010-06-11,37.295738,81.349998,35.389999,21.207504,42.895,29.975,12.135,51.970001,72.18,56.00351,40.084999,4.813,45.009998,49.25,42.41,45.66,18.025,47.054504,72.047363,9.404,17.719999,44.889999,18.133333,17.656666,29.789888,102.75,46.343338,40.470001,42.735001,18.23019,44.105,36.299999,4.875,6047.830078
2010-06-14,37.711304,82.760002,35.595001,21.633467,43.23,30.094999,12.31,52.52,72.110001,56.701183,39.755001,4.94,45.400002,50.139999,42.994999,45.965,18.450001,47.211948,74.954453,9.48,18.305,45.75,18.146666,18.333332,29.892466,103.400002,46.992451,40.490002,42.52,18.126345,45.634991,36.57,4.885,6125.0
2010-06-15,38.480286,84.349998,35.915001,21.869106,43.105,30.975,12.56,52.57,72.269997,57.099857,39.845001,5.107,45.310001,49.875,43.349998,45.849998,18.57,47.315289,75.710297,9.611,18.379999,45.900002,18.423332,18.25,28.601713,104.599998,47.817863,40.57,42.330002,17.939423,46.025002,36.695,4.925,6175.049805
2010-06-16,38.779339,85.0,36.459999,22.136465,42.654999,31.0,12.56,52.919998,72.440002,57.03009,39.029999,5.095,45.0,49.294998,42.845001,46.02,18.110001,47.512108,75.797508,9.61,18.01,46.455002,18.403334,18.333332,28.093105,105.75,48.026218,40.75,41.139999,17.773268,46.275002,36.93,4.95,6190.910156
2010-06-17,39.101688,85.120003,36.400002,22.03224,42.68,30.924999,12.525,53.720001,75.199997,56.711151,39.700001,5.217,45.5,49.445,43.700001,46.415001,18.43,47.890984,75.07074,9.704,17.99,46.560001,18.653334,18.26,29.576187,106.0,48.154442,41.439999,42.314999,17.591537,46.709999,37.439999,4.85,6223.540039
2010-06-18,39.171597,84.370003,36.529999,21.832853,42.485001,30.995001,12.535,53.139999,75.75,56.910488,40.705002,5.244,45.099998,49.174999,44.580002,46.02,18.379999,47.561314,74.867241,9.653,17.98,46.215,18.666666,18.666666,29.969398,104.5,49.10006,41.529999,43.119999,17.39423,46.970001,37.580002,4.885,6216.97998
2010-06-21,39.101688,85.150002,36.705002,22.104746,42.465,30.735001,12.73,53.630001,77.730003,57.608166,41.799999,5.312,46.200001,49.105,45.154999,46.02,18.67,47.876225,76.77623,9.656,17.924999,46.895,18.423332,18.666666,31.627716,106.150002,49.412594,42.119999,44.5,17.544807,47.779999,37.575001,4.875,6292.970215
2010-06-22,38.600685,84.949997,36.580002,21.932547,42.775002,30.790001,12.555,53.689999,76.650002,56.960323,41.514999,5.258,44.75,48.880001,45.474991,46.34,18.455,47.763054,76.078529,9.709,17.959999,46.740002,18.646666,18.333332,31.499495,105.900002,49.300404,42.25,44.470001,17.607115,47.330002,37.68,4.98375,6269.040039
2010-06-23,37.889957,83.550003,35.970001,21.542835,42.669998,30.955,12.53,52.790001,76.809998,56.172943,41.485001,5.198,42.900002,48.259998,45.325001,45.895,18.075001,47.162754,74.915695,9.689,17.940001,46.830002,18.436666,18.333332,31.114834,105.0,48.050262,41.919998,43.950001,17.342306,46.41,37.474998,4.95625,6204.52002
2010-06-24,37.03553,82.440002,35.775002,21.085154,40.985001,30.934999,12.55,51.849998,77.230003,55.255997,41.360001,4.962,41.990002,47.200001,44.615002,44.970001,17.74,46.906891,72.87104,9.58,17.57,46.259998,18.48,17.886665,29.98222,104.449997,46.752041,40.619999,43.424999,17.290382,45.465,37.169998,4.9,6115.47998
2010-06-25,36.585011,82.010002,35.290001,20.763414,41.375,30.889999,12.42,51.66,75.07,54.966961,40.360001,4.952,41.02,47.220001,42.939999,45.605,17.594999,46.434525,72.793518,9.74,17.469999,46.16,18.23,18.233334,30.807104,104.449997,47.665604,40.259998,42.014999,17.129421,45.77,37.130001,4.85,6070.600098
2010-06-28,37.287971,83.300003,35.869999,20.822325,41.125,30.815001,12.47,51.41,75.940002,54.89719,41.259998,5.092,41.535,48.334999,44.259998,46.009998,17.879999,47.079105,74.130783,9.897,17.68,47.544991,18.413334,18.466665,31.764484,104.900002,47.962112,41.009998,43.240002,16.859423,46.759998,37.349998,4.995,6157.220215
2010-06-29,35.730583,81.379997,35.095001,20.156193,39.849998,30.18,12.06,49.744999,73.43,53.143032,39.900002,4.831,39.490002,46.125,42.099998,45.035,17.135,45.022346,71.272141,9.695,17.040001,45.290001,18.043333,17.530001,30.606226,103.599998,46.559711,39.720001,41.279999,16.74,45.169998,36.799999,4.8875,5952.029785
2010-06-30,36.274311,81.849998,35.299999,20.101814,39.875,29.995001,12.01,50.080002,72.379997,53.541706,40.064999,4.818,39.169998,45.735001,42.779999,45.165001,17.045,45.268372,71.727585,9.703,17.0,45.110001,18.143333,17.34,30.170277,103.349998,46.279228,40.099998,41.919998,16.615383,47.075001,36.68,4.8525,5965.52002
2010-07-01,34.953835,80.07,35.169998,19.974932,38.674999,29.35,11.95,48.884998,69.970001,53.073265,38.200001,4.749,37.23,44.98,42.005001,44.705002,16.775,44.850132,70.448463,9.72,16.15,43.900002,17.696667,17.416666,28.670097,102.949997,46.615807,39.16,40.419998,16.007883,45.700001,36.439999,4.77,5857.430176
2010-07-02,34.996555,80.440002,35.27,20.065561,38.775002,29.184999,12.16,50.299999,70.07,53.172935,37.884998,4.73,37.830002,43.130001,43.310001,44.195,17.200001,43.669216,69.498817,9.534,15.85,43.84,17.553333,17.666666,28.648727,102.900002,47.433205,38.75,40.279999,16.018269,46.105,35.860001,4.8225,5834.149902
2010-07-05,34.856739,79.639999,35.314999,20.020247,39.064999,29.055,12.16,49.639999,70.0,53.172935,38.110001,4.757,37.48,44.009998,43.884991,44.040001,17.129999,43.615093,69.430984,9.645,16.055,43.345001,17.41,18.1,28.836782,102.699997,47.03252,38.939999,39.950001,16.054613,45.889999,35.700001,4.75,5816.200195
2010-07-06,35.536396,81.529999,35.990002,20.41902,39.654999,29.695,12.58,51.240002,71.379997,54.199516,39.0,5.0,38.939999,45.355,45.505001,44.625,17.684999,44.397449,69.896118,9.772,16.375,44.580002,17.666666,18.553333,29.879642,104.349998,48.018208,39.290001,41.209999,16.293461,47.404999,36.650002,4.8875,5940.97998
2010-07-07,36.868526,82.120003,36.095001,20.518713,40.025002,29.92,12.77,51.490002,71.239998,54.618122,39.75,4.94,37.724991,45.419998,43.84,44.650002,17.625,44.692677,70.448463,9.945,16.77,44.5,17.52,18.333332,30.670336,105.300003,49.781223,39.380001,41.945,15.883268,47.189999,36.970001,4.8875,5992.859863
2010-07-08,38.072491,83.169998,36.169998,20.699974,39.855,29.834999,12.925,51.919998,71.25,54.89719,38.91,5.007,38.355,45.610001,44.369999,44.77,17.905001,45.273293,71.407806,9.971,16.889999,45.009998,17.736666,18.366667,30.73872,105.800003,50.406296,38.400002,41.580002,16.02346,47.535,36.799999,4.9375,6035.660156
2010-07-09,38.255028,83.910004,36.314999,20.604813,40.630001,29.950001,12.825,51.900002,72.120003,54.737724,39.150002,5.083,38.994999,45.889999,46.189999,45.334999,18.145,45.66201,70.952362,9.973,17.02,45.744999,17.666666,18.266666,31.392645,106.5,50.438351,39.029999,41.634991,16.625769,48.025002,37.220001,5.0,6065.240234
2010-07-12,38.060841,84.550003,36.514999,20.781542,40.505001,30.504999,12.795,52.029999,73.220001,54.767624,38.904999,5.038,38.605,45.685001,46.685001,45.235001,18.110001,45.671852,71.853561,9.886,17.155001,46.029999,17.666666,18.266666,31.700375,105.800003,50.454376,38.785,41.564999,16.44923,47.805,37.275002,4.975,6077.189941
2010-07-13,39.132759,85.589996,36.830002,20.899361,41.185001,31.07,12.95,52.779999,77.0,55.206161,42.130001,5.18,39.965,46.959999,49.674999,45.685001,18.540001,46.188499,73.491219,10.025,17.684999,46.5,17.690001,18.26,32.555176,106.900002,51.504173,38.32,43.805,16.688076,49.009998,37.459999,4.9625,6191.129883
2010-07-14,39.179363,87.150002,37.110001,20.908424,40.919998,31.950001,13.085,52.09,77.300003,54.877258,41.544998,5.306,39.314999,47.07,48.900002,45.895,18.450001,46.434525,73.907906,10.08,17.34,46.360001,17.753332,19.143333,32.042294,107.75,52.385685,38.93,43.544991,16.771152,48.299999,37.860001,5.0,6209.759766
2010-07-15,38.189007,86.300003,37.009998,20.754353,40.535,32.025002,12.88,51.299999,75.82,54.508488,42.259998,5.125,38.525002,46.924999,49.044991,45.970001,18.48,46.109772,72.754761,10.18,16.58,45.869999,17.73,19.293333,31.51659,106.099998,51.159584,39.07,43.275002,16.605,48.259998,37.5,4.95125,6149.359863
2010-07-16,37.023876,84.800003,36.59,19.73476,39.654999,31.120001,12.685,50.349998,76.0,52.156319,42.150002,4.96,37.035,45.849998,48.945,45.365002,18.35,45.54884,71.931084,10.04,16.405001,44.959999,17.833332,18.85,31.401194,105.050003,49.925472,38.540001,43.049999,16.096153,47.310001,37.25,4.99625,6040.27002
2010-07-19,36.511223,84.620003,36.290001,19.752888,39.514999,31.35,12.6,50.34,74.629997,52.196186,41.355,4.923,36.474991,45.674999,48.900002,45.115002,18.370001,45.475033,70.962051,10.12,16.555,44.494999,17.780001,19.083332,30.837023,104.849998,49.685059,38.549999,42.630001,16.122114,45.98,37.195,4.95,6009.109863
2010-07-20,36.771435,84.43,35.900002,19.816328,40.064999,31.275,12.495,49.82,74.190002,52.226086,41.07,4.866,35.93,44.235001,47.279999,44.895,18.389999,44.702518,70.409706,10.005,16.145,44.200001,17.373333,18.533333,30.277126,104.75,49.452663,38.375,41.419998,15.75346,45.5,36.775002,4.9875,5967.490234
2010-07-21,37.070477,84.239998,36.360001,19.802732,40.0,31.01,12.665,50.75,75.459999,52.46529,40.919998,4.94,37.299999,45.084999,47.689999,45.98,18.645,44.5303,71.068649,10.055,16.42,44.439999,17.41,18.833332,29.986494,104.849998,49.27636,39.0,40.955002,15.878076,45.849998,36.794998,5.02375,5990.379883
